,title,rating,body,date,country
0,Cute,"5,0",It is so cute and its such a good speaker. Love all the image options you can put on it with the app. Looks adorable on my desk,6 februari 2023,Nederland
1,"Grappig, stevig device. Let op: dit is de versie zonder RGB keyboard.","4,0","Geinig device. Gekocht in de aanbieding.+ Voelt stevig aan+ Speaker produceert acceptabel geluid- Let op: het product is * niet * de versie met RGB lampjes onder de toetsen, maar met witte lampjes.- R",28 september 2021,Nederland
2,Hi,"5,0",So cute,30 augustus 2021,Nederland
3,The cutest speaker EVER! And you can do so much more with it!,"5,0",This tiny speaker is absolutely amazing! It does it’s job well and can be played very loud and has a good sounding base!Other then that it’s super duper cute! I love the colors and the cute buttons ! ,28 juni 2021,Nederland
4,Nice idea but poor sound quality!,"1,0",Device is a really cool idea however not easy to navigate using the keys. The sound quality is terrible worse than a budget AliExpress BT speaker and the battery is terrible. Only good thing was the p,10 juni 2021,Nederland
5,In love!,"5,0",verliefd op mijn divoom speaker! 😍,20 april 2021,Nederland
6,Divoom ditoo,"5,0",Super leuk klein ding en lekker snel binnen,5 februari 2021,Nederland
7,"Nice display piece, no audio","2,0","Great for a display item, not so much a bluetooth speaker. I have gotten this to connect via bluetooth to the app and have had no issues changing the display, but it just doesn't want to play any audi",27 maart 2023,de Verenigde Staten
8,Terrible - only for aesthetics,"1,0","I feel like all the good reviews aren't taking functionality into the score at all... because besides looking cute, this speaker is terrible. It's seriously infuriating how terrible this speaker is. E",27 maart 2023,de Verenigde Staten
9,Great Little Speaker,"5,0","Bought for my 7yr old daughter and she loves it. The colors, all the displays you can chose from and see. And the sound is amazing. She connects her iPad to it and listen to her music",25 maart 2023,de Verenigde Staten
10,Not that great,"3,0",High pitched sound when plugged in. Instructions hard to read. Cute. Sound is alright. Batter life is not great.I'm giving it a 3 and making this short since they didn't let me post my other review.,24 maart 2023,de Verenigde Staten
11,Sieht schon cool aus auf dem Gamingschreibtisch,"4,0",Verarbeitung und die Akkuleistung sind gut. Der Aufbau der App ist jedoch wenig Benutzerfreundlich. Ob einem diese nette Spielerei den Preis wert ist muss jeder selbst entscheiden.,24 maart 2023,Duitsland
12,Not worth the money,"3,0",I cannot even begin to describe how long I have wanted one of these and it was one of my main gifts my husband gave me for Christmas. We are both big gamers and I have wanted this on my desk since I s,23 maart 2023,de Verenigde Staten
13,Divoom,"4,0","J'ai eu des difficultés pour le mettre en place, au départ, il y a eu des bugs (Surtout au niveau de l'application). Mais bien dans l'ensemble.",23 maart 2023,Frankrijk
14,Very cute addition to my gaming desk,"4,0",,23 maart 2023,de Verenigde Staten
15,GREAT QUALITY,"5,0","works perfect, is very loud, has games which is also pretty fun, and last but not least it has cute icons and alarms.",17 maart 2023,de Verenigde Staten
16,Bellissimo ma troppo costoso,"4,0",Buona qualità ed è bellissimo da avere come soprammobile ma non lo ricomprerei dato il prezzo elevato.,16 maart 2023,Italië
17,Wife loves hers,"5,0","Got this for my wife. She loves it. It's not that cheap, but when you actually see what the wee thing can do, the sound quality and build quality all combine to make a pretty neat gadget. It's definit",14 maart 2023,het Verenigd Koninkrijk
18,badass speaker,"5,0","Love this little speaker, got it as a xmas gift from my husband. Had it on my shopping list, not my xmas list because I thought it was a little pricey, but boy let me tell you I think it's worth it! N",13 maart 2023,de Verenigde Staten
19,Good gift,"5,0",My friend loves it,12 maart 2023,de Verenigde Staten
20,Great buy!!!!!!,"5,0",,12 maart 2023,de Verenigde Staten
21,Love this little Bluetooth speaker!,"5,0",Absolutely in love with this Bluetooth speaker. Has great sound quality and is super cute!! Also love that you can download pixel images that display on the mini screen as well! Well worth it!!,10 maart 2023,Canada
22,it's pretty and very cool,"5,0",it arrived early and works perfectly fine.struggled a little to understand how it works but now that I know I love it.it was a present for my bf and he also loved it.would recommend 10/10.,9 maart 2023,Duitsland
23,Excellent product,"5,0",Not a fan of the others but their Ditoo is awesome. Great “pixels” and features!! And the app has a vibrant community!,9 maart 2023,de Verenigde Staten
24,Item is adorable. Plays well,"5,0",Item is really cute & packs a punch for the size. Customer service is top notch also. When CS is good I’m a forever customer.,8 maart 2023,de Verenigde Staten
25,Super Bass sound. Excellent design and flawless assembly,"5,0",,6 maart 2023,het Verenigd Koninkrijk
26,I wanted to love it. Buyer beware.,"2,0","This is such a cute product. It feels solid, well-constructed, and on the surface it does what it’s supposed to do. However, several glaring issues make me regret spending the $80 on it (with coupon).",4 maart 2023,de Verenigde Staten
